date,sn,temperature,ph,ammonia,chloride
"2019-04-03 17:00:00",18013581,22.76,7.24,0.05,88.373
"2019-04-03 17:30:00",18013581,22.73,7.41,0.04,119.624
"2019-04-03 18:00:00",18013581,22.93,7.21,0.06,112.487
"2019-04-03 18:30:00",18013581,23.17,7.4,0.03,115.142
"2019-04-03 19:00:00",18013581,23.45,7.21,0.03,94.522
"2019-04-03 19:30:00",18013581,23.71,7.3,0.02,101.638
"2019-04-03 20:00:00",18013581,23.97,6.98,0.02,89.546
"2019-04-03 20:30:00",18013581,24.22,7.18,0.02,90.918
"2019-04-03 21:00:00",18013581,24.47,7.05,0.02,95.353
"2019-04-03 21:30:00",18013581,24.68,7.21,0.02,81.605
"2019-04-03 22:00:00",18013581,24.89,7.02,0.03,104.36
"2019-04-03 22:30:00",18013581,25.08,7.19,0.02,89.691
"2019-04-03 23:00:00",18013581,25.26,7,0.02,88.553
"2019-04-03 23:30:00",18013581,25.4,7.15,0.02,102.711
"2019-04-04 00:00:00",18013581,25.55,6.98,0.02,113.253
"2019-04-04 00:30:00",18013581,25.66,7.15,0.02,117.617
"2019-04-04 01:00:00",18013581,25.77,7.01,0.02,94.454
"2019-04-04 01:30:00",18013581,25.85,7.18,0.02,100.223
"2019-04-04 02:00:00",18013581,25.93,7.02,0.03,97.722
"2019-04-04 02:30:00",18013581,25.98,7.21,0.02,109.283
"2019-04-04 03:00:00",18013581,26.03,7,0.02,83.986
"2019-04-04 03:30:00",18013581,26.07,7.19,0.02,107.324
"2019-04-04 04:00:00",18013581,26.1,7.01,0.03,105.37
"2019-04-04 04:30:00",18013581,26.12,7.18,0.02,98.133
"2019-04-04 05:00:00",18013581,26.13,6.99,0.02,117.197
"2019-04-04 05:30:00",18013581,26.14,7.15,0.02,115.455
"2019-04-04 06:00:00",18013581,26.14,6.95,0.03,111.666
"2019-04-04 06:30:00",18013581,26.14,7.14,0.02,112.527
"2019-04-04 07:00:00",18013581,26.12,6.92,0.02,86.706
"2019-04-04 07:30:00",18013581,26.11,7.11,0.02,104.203
"2019-04-04 08:00:00",18013581,26.09,6.91,0.03,100.065
"2019-04-04 08:30:00",18013581,25.99,7.11,0.02,109.215
"2019-04-04 09:00:00",18013581,25.52,6.86,0.02,90.538
"2019-04-04 09:30:00",18013581,25.06,7.04,0.02,116.279
"2019-04-04 10:00:00",18013581,24.65,6.78,0.03,103.766
"2019-04-04 10:30:00",18013581,24.32,7.01,0.02,112.475
"2019-04-04 11:00:00",18013581,24.04,6.76,0.02,85.481
"2019-04-04 11:30:00",18013581,23.94,7,0.02,87.791
"2019-04-04 12:00:00",18013581,23.9,6.75,0.03,86.588
"2019-04-04 12:30:00",18013581,23.85,7,0.01,107.042
"2019-04-04 13:00:00",18013581,23.79,6.8,0.02,95.046
"2019-04-04 13:30:00",18013581,23.75,6.99,0.02,103.052
"2019-04-04 14:00:00",18013581,23.69,6.75,0.02,115.74
"2019-04-04 14:30:00",18013581,23.67,6.97,0.01,109.789
"2019-04-04 15:00:00",18013581,23.68,6.76,0.01,98.456
"2019-04-04 15:30:00",18013581,23.7,6.96,0.01,109.238
"2019-04-04 16:00:00",18013581,23.78,6.75,0.02,84.392
"2019-04-04 16:30:00",18013581,23.9,6.95,0.01,120.585
"2019-04-04 17:00:00",18013581,24.06,6.78,0.01,87.643
"2019-04-04 17:30:00",18013581,24.22,6.95,0.01,96.483
"2019-04-04 18:00:00",18013581,24.51,6.75,0.02,116.697
"2019-04-04 18:30:00",18013581,24.85,6.95,0.01,82.348
"2019-04-04 19:00:00",18013581,25.22,6.78,0.01,83
"2019-04-04 19:30:00",18013581,25.57,6.94,0.01,98.141
"2019-04-04 20:00:00",18013581,25.92,6.76,0.02,106.855
"2019-04-04 20:30:00",18013581,26.23,6.95,0.01,100.725
"2019-04-04 21:00:00",18013581,26.55,6.77,0.01,89.653
"2019-04-04 21:30:00",18013581,26.82,6.94,0.01,86.889
"2019-04-04 22:00:00",18013581,27.07,6.75,0.01,89.233
"2019-04-04 22:30:00",18013581,27.29,6.93,0.01,95.103
"2019-04-04 23:00:00",18013581,27.48,6.75,0.01,118.171
"2019-04-04 23:30:00",18013581,27.62,6.93,0.01,96.809
"2019-04-05 00:00:00",18013581,27.75,6.73,0.02,82.105
"2019-04-05 00:30:00",18013581,27.85,6.92,0.01,111.93
"2019-04-05 01:00:00",18013581,27.94,6.73,0.01,97.17
"2019-04-05 01:30:00",18013581,27.99,6.91,0.01,87.504
"2019-04-05 02:00:00",18013581,28.05,6.71,0.02,99.034
"2019-04-05 02:30:00",18013581,28.08,6.91,0.01,119.718
"2019-04-05 03:00:00",18013581,28.09,6.71,0.01,109.568
"2019-04-05 03:30:00",18013581,28.1,6.9,0.01,83.088
